List of U.S. metropolitan areas by GDP per capita


# List of U.S. metropolitan areas by GDP per capita



This is a list of U.S. metropolitan areas by their gross domestic product per capita in 2021.


## GDP per capita for US metropolitan statistical areas (in 2021 dollars)

| Rank | City | Population | GDP (in millions of USD) | GDP per capita |
| 303 | Hickory-Lenoir-Morganton, NC MSA | 366,441 | $16,787 | $45,811 |
| 304 | Joplin, MO MSA | 182,541 | $8,319 | $45,573 |
| 305 | Houma-Thibodaux, LA MSA | 206,212 | $9,350 | $45,342 |
| 306 | Killeen-Temple, TX MSA | 486,101 | $21,967 | $45,190 |
| 307 | Atlantic City-Hammonton, NJ MSA | 274,966 | $12,407 | $45,122 |
| 308 | Coeur d'Alene, ID MSA | 179,789 | $8,112 | $45,120 |
| 309 | Parkersburg-Vienna, WV MSA | 88,687 | $4,000 | $45,102 |
| 310 | Brunswick, GA MSA | 113,963 | $5,136 | $45,067 |
| 311 | Fort Smith, AR-OK MSA | 245,459 | $10,920 | $44,488 |
| 312 | Yuba City, CA MSA | 182,484 | $8,104 | $44,409 |
| 313 | Clarksville, TN-KY MSA | 328,304 | $14,546 | $44,306 |
| 314 | Lawton, OK MSA | 127,543 | $5,636 | $44,189 |
| 315 | Anniston-Oxford, AL MSA | 115,972 | $5,108 | $44,045 |
| 316 | Lakeland-Winter Haven, FL MSA | 753,520 | $33,144 | $43,986 |
| 317 | Pueblo, CO MSA | 169,622 | $7,436 | $43,839 |
| 318 | Chambersburg-Waynesboro, PA MSA | 156,289 | $6,846 | $43,803 |
| 319 | Valdosta, GA MSA | 149,152 | $6,529 | $43,774 |
| 320 | St. George, UT MSA | 191,226 | $8,338 | $43,603 |
| 321 | Lynchburg, VA MSA | 262,258 | $11,430 | $43,583 |
| 322 | Springfield, MA MSA | 695,305 | $30,271 | $43,536 |
| 323 | Elizabethtown-Fort Knox, KY MSA | 156,766 | $6,819 | $43,498 |
| 324 | Yuma, AZ MSA | 206,990 | $8,977 | $43,369 |
| 325 | Madera, CA MSA | 159,410 | $6,907 | $43,329 |
| 326 | Monroe, MI MSA | 155,274 | $6,716 | $43,253 |
| 327 | Morristown, TN MSA | 143,855 | $6,218 | $43,224 |
| 328 | Albany-Lebanon, OR MSA | 129,839 | $5,608 | $43,192 |
| 329 | Visalia, CA MSA | 477,054 | $20,580 | $43,140 |
| 330 | El Paso, TX MSA | 871,234 | $37,507 | $43,050 |
| 331 | Sierra Vista-Douglas, AZ MSA | 126,050 | $5,399 | $42,832 |
| 332 | Burlington, NC MSA | 173,877 | $7,440 | $42,789 |
| 333 | Hagerstown-Martinsburg, MD-WV MSA | 298,227 | $12,755 | $42,769 |
| 334 | Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA | 509,794 | $21,787 | $42,737 |
| 335 | Flint, MI MSA | 404,208 | $17,234 | $42,636 |
| 336 | Cumberland, MD-WV MSA | 94,586 | $4,025 | $42,554 |
| 337 | Monroe, LA MSA | 204,884 | $8,699 | $42,458 |
| 338 | Cleveland, TN MSA | 127,938 | $5,423 | $42,388 |
| 339 | Sherman-Denison, TX MSA | 139,336 | $5,852 | $41,999 |
