List of countries by future gross government debt


# List of countries by future gross government debt



This is a list of countries by estimated future grossᶜˡᵃʳⁱᶠⁱᶜᵃᵗⁱᵒⁿ ⁿᵉᵉᵈᵉᵈ central government debt based on data released in October 2020 by the International Monetary Fund, with figures in percentage of national GDP.


## Projected debt estimates

**Gross government debt (sortable; in percent of GDP)**
| Country | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 |
| Madagascar | 40.031 | 39.894 | 38.422 | 44.171 | 44.961 | 47.046 | 48.758 | 50.014 | 50.966 |
| Malawi | 61.488 | 63.117 | 63.431 | 70.663 | 75.072 | 74.942 | 73.420 | 72.786 | 71.341 |
| Malaysia | 54.395 | 55.543 | 57.243 | 67.581 | 66.025 | 65.043 | 64.123 | 63.008 | 61.996 |
| Maldives | 61.299 | 71.254 | 77.987 | 118.318 | 119.178 | 116.667 | 113.914 | 110.033 | 106.509 |
| Mali | 35.985 | 37.718 | 40.464 | 44.797 | 46.241 | 46.195 | 46.553 | 46.449 | 46.236 |
| Malta | 48.793 | 45.185 | 42.570 | 56.697 | 57.083 | 55.424 | 54.554 | 53.092 | 51.385 |
| Marshall Islands | 26.635 | 24.547 | 22.626 | 27.433 | 24.730 | 24.318 | 24.946 | 28.663 | 32.298 |
| Mauritania | 55.100 | 61.389 | 58.115 | 65.565 | 65.909 | 64.659 | 61.764 | 58.877 | 56.932 |
| Mauritius | 64.340 | 66.223 | 82.804 | 85.653 | 84.165 | 83.749 | 85.782 | 88.311 | 85.258 |
| Mexico | 53.963 | 53.606 | 53.749 | 65.541 | 65.599 | 65.406 | 65.164 | 65.023 | 64.905 |
| Micronesia | 21.923 | 18.761 | 16.998 | 16.495 | 14.978 | 13.673 | 12.424 | 15.799 | 19.046 |
| Moldova | 34.300 | 31.640 | 28.378 | 37.847 | 39.238 | 40.425 | 40.717 | 39.848 | 38.917 |
| Montenegro | 66.207 | 71.885 | 79.343 | 90.848 | 88.145 | 86.110 | 84.187 | 82.239 | 80.201 |
| Morocco | 65.109 | 75.177 | 80.500 | 91.100 | 95.073 | 101.961 | 102.893 | 100.832 | 98.856 |
| Mozambique | 102.443 | 106.246 | 104.378 | 121.331 | 123.511 | 123.351 | 116.803 | 104.885 | 92.081 |
| Myanmar | 38.470 | 40.415 | 38.844 | 42.375 | 45.211 | 46.959 | 48.411 | 49.673 | 50.549 |
| Namibia | 43.507 | 49.811 | 54.660 | 67.615 | 68.166 | 72.679 | 74.539 | 75.648 | 76.476 |
| Nauru | 76.689 | 74.316 | 61.992 | 59.739 | 57.298 | 55.502 | 54.105 | 65.965 | 78.821 |
| Nepal | 26.087 | 30.238 | 30.069 | 39.220 | 43.700 | 45.039 | 46.284 | 47.353 | 48.229 |
| Netherlands | 56.913 | 52.391 | 48.384 | 59.319 | 61.140 | 61.011 | 60.113 | 58.596 | 56.391 |
| New Zealand | 31.267 | 28.518 | 31.542 | 48.023 | 60.217 | 65.564 | 68.018 | 68.510 | 66.903 |
| Nicaragua | 34.080 | 37.550 | 42.139 | 48.255 | 50.259 | 50.474 | 51.249 | 53.366 | 55.501 |
| Niger | 39.530 | 38.939 | 41.726 | 48.350 | 48.645 | 45.491 | 43.023 | 42.201 | 41.625 |
| Nigeria | 25.340 | 27.657 | 29.142 | 34.978 | 35.509 | 36.231 | 36.538 | 36.977 | 37.449 |
| North Macedonia | 39.383 | 40.599 | 40.166 | 50.254 | 50.526 | 50.620 | 50.810 | 51.075 | 51.506 |
| Norway | 38.636 | 39.915 | 41.250 | 40.000 | 40.000 | 40.000 | 40.000 | 40.000 | 40.000 |
| Oman | 46.416 | 53.168 | 63.056 | 81.529 | 88.651 | 86.677 | 90.833 | 95.278 | 99.074 |
| Pakistan | 67.060 | 72.077 | 85.555 | 87.203 | 85.965 | 82.112 | 78.304 | 73.639 | 69.263 |
| Panama | 34.784 | 36.777 | 41.037 | 54.951 | 60.139 | 60.644 | 58.942 | 57.320 | 55.286 |
| Papua New Guinea | 32.484 | 36.782 | 40.059 | 46.702 | 47.738 | 49.160 | 47.776 | 47.727 | 45.690 |
| Paraguay | 19.841 | 22.243 | 26.107 | 35.453 | 35.697 | 35.247 | 34.429 | 33.919 | 33.357 |
| Peru | 25.413 | 26.164 | 27.122 | 39.482 | 39.131 | 39.681 | 39.394 | 38.803 | 37.796 |
| Philippines | 38.108 | 37.134 | 36.969 | 48.858 | 52.512 | 54.970 | 56.963 | 58.412 | 59.333 |
| Poland | 50.626 | 48.843 | 45.969 | 60.001 | 60.179 | 59.239 | 59.341 | 59.865 | 60.893 |
| Portugal | 126.143 | 122.004 | 117.737 | 137.240 | 130.047 | 124.059 | 119.607 | 117.789 | 115.895 |
